Urdu,Roman Urdu
آباد,aabaad
آبرو,aabru
آپ,aap
آداب,aadaab
آدمی,aadmi
آدمیت,aadmiyyat
آرا,aaraa
آرام,aaraam
آرزو,aarzoo
از,aaz
اس,aas
آسان,aasaan
آسمان,aasmaan
آگ,aag
آنسو,aansoo
آواز,aawaaz
ابتداءً,ibtidaa
ابتر,abtar
اتحاد,ittihaad
اتفاق,ittifaaq
اٹک,atak
اثر,asar
اجازت,ijaazat
اجنبی,ajnabee
احتیاط,ihtiyaat
احساس,ihsaas
احسان,ihsaan
اخبار,akhbaar
اختیار,ikhtiyaar
ادا,adaa
ادراک,idraak
ادب,adib
عرض,arz
اساس,asaas
اسباب,asbaab
استاد,ustaad
اشتہار,ishtihaar
اصل,asl
اصلی,asli
اضطراب,iztiraab
افراط,ifraat
افسوس,afsos
اقبال,iqbaal
اقرار,iqraar
اکبر,akbar
اکثر,aksar
اگر,agar
ال,al
امانت,amaanat
امتیاز,imtiyaaz
امید,ummid
انتقام,intiqaam
انجام,anjaam
انجمن,anjuman
انسان,insaan
انکار,inkaar
اوقات,auqaat
باب,baab
بات,baat
بعد,baad
بادل,baadal
بارش,baarish
باریک,baareek
باز,baaz
بازار,baazaar
بازو,baazoo
بازی,baazi
باغ,baagh
باقی,baaqee
بام,baam
بانکا,baankaa
بحث,bahs
بخار,bukhaar
بخت,bakht
بدل,badal
برابر,baraabar
برداشت,bardaasht
برسات,barsaat
برکت,barkat
بزرگ,buzurg
بس,bas
بستر,bistar
بسیرا,baseraa
بشر,bashar
بغاوت,baghaawat
بغل,baghal
بنیاد,bunyaad
بہادر,bahaadur
بے ادب,be adab
بےچین,be chain
بے خبر,be khabar
بے داغ,be daagh
بے درد,be dard
بے رحم,be rahm
بے ریا,be riyaa
بے زبان,be zabaan
بے شرم,be sharm
بے صبر,be sabr
بے فکر,be fikr
بے کار,be kaar
بے وقوف,be waqoof
بیان,bayaan
بیزار,bezaar
بیمار,bimaar
پار,paar
پاس,paas
پاسبان,paas baan
پاک,pak
پاگل,paagal
پانی,paani
پرورش,parwarish
پریشان,pareshaan
پسند,pasand
پشیمان,pashemaan
پل,pal
پلک,palak
پیغام,paighaam
پیمان,paimaan
تاج,taj
تاریخ,taarikh
تاک,taak
تبدیل,tabdeel
تخت,takht
ترس,tars
ترکیب,tarkeeb
تصور,tasawwur
تقدیر,taqdeer
تکلیف,takleef
تمام,tamaam
تیر,teer
تیز,tez
ٹپکنا,tapaknaa
ٹکر,takkar
ٹوٹ,toot
ثابت,saabit
ثقافت,siqaafat
جادو,jaadu
جاگیر,jaagir
جاہل,jaahil
جدا,judaa
جدائی,judaaee
جستجو,justjoo
جسم,jism
جشن,jashn
جال,jal
جگر,jigar
جنت,jannat
جنگ,jang
جواب,jawaab
جوش,josh
جہاز,jahaaz
چادر,chaadar
چاقو,chaaqoo
چال,chaal
چراغ,charaagh
چمک,chamak
چند,chand
چیز,cheez
چین,chain
حاضر,haazir
حاکم,haakim
حال,haal
حالت,haalat
حرام,haraam
حساب,hisaab
حسین,haseen
حضرت,hazrat
حفاظت,hifaazat
حقیقت,haqeeqat
حکم,hukm
حکمت,hikmat
حیثیت,haiseeyat
خاص,khaas
خاک,khaak
خالص,khaalis
خام,khaam
خاموش,khaamosh
خاندان,khaandaan
خبر,khabar
خدا,khuda
خراب,kharaab
خشک,khushk
خنجر,khanjar
خواب,khwaab
خود,khood
خوش,khoosh
خون,khoon
خیال,khayaal
داد,daad
داستان,daastaan
داغ,daagh
دامن,daaman
دراز,daraaz
درد,dard
درس,dars
درست,durust
درشت,durusht
درمیان,darmiyan
دریا,darya
دستور,dastoor
دشمن,dushman
دشوار,dushwaar
دل,dil
دلبر,dilbar
دلچسپ,dil chasp
دلسوز,dil soz
دلفریب,dil fareb
دلکش,dil kash
دماغ,dimaagh
دنیا,dunyaa
دور,door
دوست,dost
دولت,daulat
دیوار,deewaar
ذاتی,zaati
ذکر,zikr
راز,raaz
سچا,raast
رحم,rahm
رخسار,rukhsaar
رسم,rasm
رفتار,raftaar
رفیق,rafeeq
رقیب,raqeeb
رنگ,rang
ریشم,resham
زبان,zabaan
زحمت,zahmat
زخم,zakhm
زکام,zukaam
زمین,zameen
زنجیر,zanjeer
زندگی,zindagi
ساحل,saahil
ساز,saaz
ساقی,saaqee
سال,saal
سامان,saamaan
سانس,saans
سحر,sahar
سخت,sakht
سر,sar
سزا,sazaa
سست,sust
